cal_year,engine_cc,vehicle_value,age,ncd_level,gross_amount
2018,1222,26066,50,2,10588.38189
2018,697,21185,47,2,8401.806279
2019,697,21185,48,0,1749.022173
2019,697,21185,48,0,1253.814256
2024,600,9049,61,5,2533.782559
2020,721,16047,49,0,8476.344338
2021,721,16047,50,0,1330.386578
2020,600,14532,51,3,3336.036814
2020,600,14532,51,3,16693.52672
2021,600,14532,52,1,72730.47714
2020,1268,37083,35,4,8006.948127
2023,600,12042,48,4,16893.5372
2023,600,12042,48,4,13766.79188
2022,821,20224,54,1,8012.117095
2022,2205,57764,37,3,23717.89633
2024,2205,57764,39,2,8906.504824
2021,600,11506,37,2,5311.467574
2021,1109,30475,61,2,18341.50723
2022,1110,28930,53,4,1600.89915
2024,600,12155,36,0,19042.98547
2020,600,20529,47,5,3508.024033
2022,600,20529,49,4,3501.141407
2022,600,20529,49,4,15523.40557
2022,600,20529,49,4,21319.29498
2017,600,15318,40,1,1255.694725
2020,600,11228,38,1,3533.625369
2019,600,18615,44,2,6720.162267
2024,649,22563,36,4,31349.94563
2024,600,13428,52,2,13458.38723
2020,600,12730,49,1,7440.58353
2021,600,12730,50,0,26745.23671
2016,600,14313,51,1,6007.626071
2022,2104,47035,51,3,7047.210492
2021,600,11463,49,2,8257.577962
2024,849,21008,40,4,5558.057512
2024,849,21008,40,4,21201.951
2024,5091,65000,48,4,38246.60015
2019,992,24394,42,3,5063.746189
2020,821,25664,49,5,37963.38509
2020,821,25664,49,5,6760.910323
2023,600,14120,55,1,3969.417365
2022,600,11700,58,3,8497.755389
2022,600,11700,58,3,11159.4103
2022,1970,44711,43,5,8398.227862
2024,1970,44711,45,4,4076.191626
2023,1876,49862,46,5,6472.590188
2023,1876,49862,46,5,24134.57644
2024,610,17695,58,3,9601.405259
2022,600,14265,51,4,10787.30082
2024,600,14265,53,4,14433.02833
2024,600,14265,53,4,14495.18422
2024,2171,51118,38,1,10049.62745
2021,1026,21929,42,2,7149.278618
2017,726,21631,57,2,23131.00005
2018,726,21631,58,0,16648.08335
2021,726,21631,61,2,25379.42103
2023,600,13045,44,5,22397.50414
2017,1012,22190,60,2,6513.469838
2018,1012,22190,61,0,69012.46836
2022,1860,42323,56,2,6642.912211
2024,1860,42323,58,1,1801.104961
2022,829,21069,40,5,18162.0796
2023,829,21069,41,3,555.4178345
2021,1043,24154,53,3,3624.540284
2024,660,18551,36,1,12865.5383
2022,600,12183,35,1,9728.423111
2019,910,27477,48,0,30314.14189
2024,1772,34623,49,5,2862.178344
2024,600,15572,41,4,25935.65753
2020,600,19743,55,4,10457.60515
2019,650,13087,50,4,16628.18841
2021,600,16619,50,1,25458.95492
2022,600,16619,51,0,19238.10268
2021,600,12216,72,4,13122.14594
2022,600,12947,27,1,24409.94818
2017,1975,50263,25,0,23371.30908
2021,600,13541,35,2,2706.350691
2022,600,13541,36,0,40561.78504
2021,600,15573,23,3,7485.053558
2021,1138,27166,65,3,10602.53514
2021,600,11731,59,2,3668.243729
2021,600,19761,57,3,18483.39153
2021,600,19761,57,3,10076.86959
2023,600,11437,36,0,10072.67651
2023,600,11437,36,0,22263.31705
2023,600,11437,36,0,8467.244422
2016,817,20477,25,1,13208.75511
2021,817,20477,30,4,8589.554873
2021,817,20477,30,4,871.4101786
2018,2131,51914,54,1,20813.51143
2021,600,13593,49,4,13139.28132
2023,2244,46527,70,2,5481.816984
2021,600,19133,56,1,25313.92663
2022,600,19133,57,0,11279.64888
2022,600,19133,57,0,11171.19813
2019,766,22938,72,4,23789.61982
2021,600,11137,25,1,584.4996388
2022,600,11137,26,0,4579.692497
2021,636,15857,59,5,28252.12225
2019,815,21910,42,0,13083.27947
2023,2905,65000,51,3,20713.00294
2024,2905,65000,52,1,4184.445791
2020,600,18053,60,1,8599.709224
2021,600,8032,23,1,5836.693736
2021,600,8032,23,1,7555.686425
2021,600,8032,23,1,17285.85115
2021,600,8032,23,1,19806.98164
2023,600,8032,25,1,3401.614974
2020,666,25263,44,3,19094.34865
2023,600,14339,39,3,15335.28874
2019,600,12441,40,1,11902.73589
2016,673,21882,39,1,2167.931459
2021,1705,46645,49,3,9695.14895
2021,958,23658,60,2,4779.372759
2020,668,12384,59,4,5492.096648
2019,628,11411,27,1,7573.647856
2021,600,15463,57,5,5662.451487
2024,1110,26236,55,0,3905.465598
2024,600,9961,27,5,11125.67872
2024,600,9961,27,3,12770.88425
2020,1733,46832,52,4,18729.83521
2021,1733,46832,53,2,5423.981087
2017,600,9616,39,2,47732.62926
2019,600,9616,41,1,29935.05701
2020,600,9616,42,0,12824.9257
2020,600,9616,42,0,18297.74998
2018,600,11987,43,2,9168.755515
2020,600,11987,45,1,9034.415674
2020,600,11987,45,1,36473.47456
2023,600,11987,48,2,8040.060637
2020,1288,37132,50,2,5393.593665
2020,1288,37132,50,2,12243.03802
2021,1288,37132,51,0,6646.742494
2024,600,16439,42,3,3511.166282
2024,600,16439,42,3,13950.31121
2019,1272,34162,24,2,6648.628371
2017,1175,28676,44,0,17173.70566
2021,716,17459,30,2,14440.446
2021,716,17459,30,2,4236.683929
2021,890,18065,39,1,9649.674816
2021,890,18065,39,1,21291.81343
2022,890,18065,40,0,16495.14112
2022,890,18065,40,0,1197.658437
2023,890,18065,41,0,2562.9868
2020,1056,26026,48,2,9898.998666
2024,600,9681,72,1,4280.20683
2019,1573,43266,42,2,15094.75616
2019,1573,43266,42,2,4383.911748
2019,1573,43266,42,2,5572.238286
2021,1573,43266,44,1,822.2726069
2019,1851,46516,37,2,2439.691913
2020,1851,46516,38,0,4732.574422
2020,1851,46516,38,0,4485.540858
2021,600,12357,53,3,1522.116752
2022,600,12357,54,1,18139.46402
2023,600,12357,55,0,6573.104719
2023,600,12357,55,0,22485.01856
2022,600,10977,28,0,16189.58345
2023,600,10977,29,0,7981.703977
2024,600,10977,30,0,13681.72043
2021,1481,37684,55,1,14670.05491
2023,1481,37684,57,1,22919.86776
2016,600,16554,45,2,949.2042947
2022,6000,90000,69,2,1273.25633
2023,6000,90000,70,0,2481.306142
2023,6000,90000,70,0,27987.65267
2023,779,16055,49,5,5376.917424
2022,600,13316,33,2,8263.733006
2024,771,17331,57,1,14566.46958
2024,771,17331,57,1,5399.749889
2023,600,9968,48,1,7028.333074
2018,600,16438,49,2,16983.29184
2023,2530,57479,58,5,12209.10397
2018,600,16685,28,3,8368.46079
2019,600,16685,29,1,5187.295484
2020,600,16685,30,0,8881.791638
2021,690,17026,56,4,4678.272906
2019,736,22642,46,2,18094.34571
2020,942,22997,60,3,4062.753338
2023,639,21866,60,5,7019.198295
2023,639,21866,60,5,11824.42378
2023,600,14164,51,5,5836.20985
2024,600,14164,52,4,12733.51823
2024,600,14164,52,2,9791.780843
2020,600,7017,54,3,6510.852545
2020,600,7017,54,3,1199.681677
2023,600,7017,57,3,6434.146798
2019,600,17482,64,4,9472.37934
2022,600,11471,26,3,8780.94754
2016,600,14500,53,1,13940.51838
2021,781,21343,37,2,8370.300037
2021,2614,64995,26,2,5351.652015
2022,2614,64995,27,0,15697.87827
2024,2614,64995,29,0,7363.02782
2023,600,12453,70,5,50288.49258
2016,699,12859,27,2,6879.081887
2016,699,12859,27,2,5056.026187
2017,699,12859,28,0,10200.53134
2021,699,12859,32,3,25074.8152
2021,699,12859,32,3,8337.871463
2021,699,12859,32,3,11389.7813
2022,699,12859,33,1,16334.32214
2017,1267,37541,24,2,1942.143883
2017,1267,37541,24,2,7153.048703
2017,1267,37541,24,2,6342.14163
2018,600,9025,52,3,11795.27105
2020,1778,42799,27,0,8518.404723
2024,1778,42799,31,3,5671.98647
2020,600,4864,23,1,2088.986709
2020,600,4864,23,1,3706.68841
2022,600,4864,25,1,16732.40178
2022,600,4864,25,1,10755.95432
2022,600,4864,25,1,2812.684342
2022,600,4864,25,1,4413.256162
2022,600,4864,25,1,7843.149264
2024,600,10747,57,3,9918.009069
2024,600,10747,57,3,31924.03468
2017,918,21715,42,2,8219.090255
2017,918,21715,42,2,4995.16205
2018,600,13534,48,3,5146.71194
2018,600,13534,48,3,14860.19936
2018,600,13534,48,3,13864.60388
2023,600,13534,53,5,1672.253044
2017,637,16701,27,2,4045.032216
2019,637,16701,29,1,6761.193865
2019,637,16701,29,1,8502.889936
2021,600,9315,33,4,10447.22692
2022,1482,43094,50,1,12669.20104
2024,1482,43094,52,1,111126.217
2023,1309,34817,52,5,7445.828998
2024,2148,60390,34,4,10434.63447
2023,705,26662,75,4,14766.83408
2020,3404,81869,29,0,7360.772131
2019,600,7925,39,2,6424.145656
2016,600,14343,41,1,4973.860761
2016,600,14343,41,1,2151.203223
2018,1106,28221,47,2,5288.177289
2019,1106,28221,48,0,11140.83923
2023,600,8897,28,4,38433.67158
2024,600,8897,29,2,13991.14412
2023,600,10269,57,1,5929.827858
2021,600,12880,41,2,11528.11478
2021,600,12880,41,2,23786.15194
2024,600,12880,44,2,9245.158493
2024,899,25760,47,5,3926.43941
2024,899,25760,47,5,15219.23483
2024,855,21288,44,1,3598.058068
2021,600,9141,39,5,5806.568673
2024,600,9141,42,5,7585.412217
2021,4306,90000,47,4,3451.624271
2019,789,17880,27,1,29003.18623
2023,789,17880,31,3,11920.95617
2023,789,17880,31,3,17244.1751
2023,789,17880,31,3,10830.75908
2023,789,17880,31,3,8054.196343
2024,789,17880,32,1,5676.187544
2023,1257,30141,43,0,20369.90636
2020,600,17593,44,0,5856.630058
2022,600,17593,46,1,2745.67437
2022,600,8969,40,4,7778.72911
2019,600,15789,64,4,19893.70215
2023,1514,43389,66,3,37989.82312
2023,1514,43389,66,3,9062.0105
2021,600,16300,47,2,3155.716883
2022,600,10362,30,5,19472.69916
2022,645,15285,78,5,12201.69137
2022,645,15285,78,5,9102.656624
2020,1556,45753,31,1,21735.33913
2020,1556,45753,31,1,7996.750602
2019,1530,30250,54,4,2301.560908
2024,984,28280,53,5,7346.004359
2017,1476,41120,44,1,9261.63325
2023,1476,41120,50,1,17272.27239
2024,600,14252,30,0,42836.87342
2024,600,14252,30,0,7397.113293
2024,600,14252,30,0,14076.47998
2019,671,23574,49,2,15545.66132
2023,671,23574,53,3,13596.82983
2017,600,18290,26,1,23843.11327
2019,600,18290,28,1,13101.07342
2023,726,20355,56,3,1629.499529
2021,600,12562,39,2,37375.90252
2022,600,12562,40,0,32342.62035
2021,600,17167,44,3,27224.66896
2022,600,17167,45,1,5999.602006
2022,1644,50589,64,5,17735.91527
2022,1644,50589,64,5,29532.59307
2023,1644,50589,65,3,38188.20294
2020,1576,44019,41,2,32718.12123
2020,1576,44019,41,2,11899.25399
2019,742,18377,60,2,2843.730232
2019,742,18377,60,2,7666.901678
2018,963,18698,47,2,17090.8552
2024,1241,31677,38,2,13670.03037
2022,600,17977,38,3,4025.199798
2016,600,11209,27,0,1737.823516
2024,1212,37860,51,3,8908.84023
2024,1212,37860,51,1,22430.50134
2019,2304,51701,45,4,15344.01217
2020,2304,51701,46,2,16542.64181
2020,2304,51701,46,2,7507.053226
2023,2304,51701,49,2,24680.61307
2023,2139,55067,50,3,13661.97801
2018,1014,23653,38,1,20865.70965
2022,1393,30478,39,1,6046.322513
2022,1393,30478,39,1,8982.308864
2019,600,10051,23,0,11393.22778
2019,600,10051,23,0,10212.12309
2021,600,14929,49,1,14583.22977
2024,600,13171,43,2,7194.220514
2023,600,14570,46,2,2975.473909
2024,600,14570,47,0,4091.377593
2022,1834,50591,35,1,30386.59478
2016,1576,43406,81,2,46773.7259
2022,1576,43406,87,5,22589.40861
2023,600,13014,28,0,8288.476812
2019,2358,63644,56,2,7556.030865
2023,600,11732,41,3,1696.019136
2018,2290,50236,43,1,17924.62474
2019,2290,50236,44,0,9489.439097
2023,2290,50236,48,2,31387.96349
2024,2290,50236,49,0,26773.54736
2022,2426,52931,51,5,4544.211303
2024,2426,52931,53,4,9464.586995
2023,600,11674,44,1,3348.202211
2024,600,13540,73,5,8614.521041
2024,600,11946,29,0,13592.35454
2021,600,10721,38,3,11149.41188
2023,600,10721,40,2,7896.67144
2024,600,10721,41,0,49425.64351
2022,1173,27981,45,1,1141.818222
2024,603,11914,31,1,1699.292661
2019,600,9624,64,3,6124.351005
2016,600,14904,41,1,17746.89847
2018,600,14904,43,1,6035.71985
2021,802,21568,38,2,3427.570513
2022,802,21568,39,0,4615.794433
2022,802,21568,39,0,50434.31986
2022,802,21568,39,0,976.2109427
2022,802,21568,39,0,19526.79717
2023,805,21924,46,5,10840.84716
2020,600,18923,41,2,10435.49032
2021,600,18923,42,0,16012.1767
2016,955,25050,33,1,3353.115681
2017,955,25050,34,0,40021.21261
2021,955,25050,38,1,19305.16901
2023,955,25050,40,1,5090.903431
2022,1202,34482,48,0,4721.98538
2020,600,17765,46,3,4606.49591
2017,600,8740,21,1,4408.822051
2019,600,8740,23,1,15162.84251
2021,600,8263,24,1,22992.00938
2021,600,8263,24,1,7026.851293
2022,600,8263,25,0,4706.050919
2022,600,8263,25,0,11211.67533
2021,600,17323,38,5,4025.045275
2021,600,17323,38,5,8018.184298
2022,600,15626,64,0,14145.54792
2023,600,15626,65,0,13488.18228
2019,1644,41321,29,3,11158.14766
2021,1644,41321,31,2,53798.36663
2022,1644,41321,32,0,9642.196546
2018,627,12313,20,2,43489.62995
2018,627,12313,20,2,4383.82561
2019,627,12313,21,0,4101.775085
2020,627,12313,22,0,3106.184758
2023,627,12313,25,2,27470.89657
2024,627,12313,26,0,13085.08304
2021,872,17656,41,2,4054.080037
2024,600,17833,47,1,8273.800014
2024,1206,35927,40,2,5810.270221
2024,1490,38395,64,1,5648.567614
2024,835,20987,40,2,20303.67803
2024,835,20987,40,2,7226.871836
2024,835,20987,40,2,28883.86009
2024,1247,39278,34,4,20573.09773
2021,600,12889,58,5,1718.587377
2021,600,9435,42,5,7400.123843
2020,600,16021,67,1,56462.95974
2021,600,16021,68,0,6585.308469
2024,600,16021,71,2,7618.789923
2018,600,9422,33,1,3584.214439
2019,600,9422,34,0,3039.905206
2020,600,9422,35,0,5657.095737
2020,600,9422,35,0,4429.760738
2021,600,14207,76,1,2360.964811
2020,600,9988,33,2,2756.958438
2019,1012,26197,32,3,6966.113188
2019,1012,26197,32,3,16508.63495
2020,1012,26197,33,1,11272.6337
2024,1012,26197,37,3,38803.23451
2023,600,12423,47,0,24940.97758
2018,1197,28356,83,3,5112.894828
2018,600,20720,54,2,13793.36592
2023,600,14804,26,2,13638.60122
2018,600,8477,21,1,39939.07042
2024,600,14784,44,0,9071.633895
2024,600,14784,44,0,600.6176268
2020,600,13667,40,5,7109.807953
2020,600,13667,40,5,12890.12305
2024,600,13667,44,5,7165.764472
2022,872,26817,39,3,7475.187211
2019,600,12136,40,4,10031.68755
2021,600,12136,42,3,5069.621214
2019,600,8156,47,3,7508.837423
2019,600,8156,47,3,9773.258106
2020,1138,27735,58,2,899.6495114
2023,841,23550,34,0,18354.18975
2020,1081,23164,53,2,12706.29265
2021,1081,23164,54,0,21157.22967
2024,4804,90000,42,1,1802.208349
2020,696,25148,37,3,23100.07106
2018,1478,41293,43,2,5587.729278
2018,1478,41293,43,2,3928.077215
2019,600,20522,49,4,5478.813148
2020,600,16152,41,2,20858.43907
2022,600,16152,43,1,13903.26092
2022,600,16152,43,1,6208.806591
2023,600,16152,44,0,23574.00293
2023,600,16152,44,0,16488.86631
2023,600,16152,44,0,9078.931861
2023,600,16152,44,0,3140.143205
2023,600,16152,44,0,8552.781474
2020,600,6340,30,3,8649.280917
2021,1117,33907,51,4,13226.86327
2022,1117,33907,52,2,24956.75723
2021,954,32601,35,3,2500.358639
2024,2083,51945,33,2,19453.36599
2018,1123,30948,49,3,8928.074086
2019,1123,30948,50,1,10426.59288
2019,1123,30948,50,1,10339.74857
2020,600,13695,36,1,10230.14399
2024,600,13695,40,3,2552.548417
2024,600,13695,40,3,1973.891498
2024,600,13695,40,3,1823.612172
2023,849,18835,38,3,16214.31808
2023,849,18835,38,3,6150.896898
2024,1137,30129,44,5,6560.518299
2024,759,21046,64,2,14022.41647
2024,600,4707,30,5,5640.586328
2017,600,16380,41,3,14286.41318
2022,600,15175,35,0,4583.314051
2019,600,12864,36,2,9464.461779
2023,600,8153,54,3,21160.1154
2019,2499,55152,35,2,22989.79097
2019,2499,55152,35,2,8257.905553
2022,2499,55152,38,2,8634.582532
2022,2499,55152,38,2,7983.783889
2023,2499,55152,39,0,13985.67771
2024,600,9993,56,2,3120.47443
2019,1176,31436,43,2,14425.68904
2019,1176,31436,43,2,16387.37065
2019,1176,31436,43,2,104906.2702
2020,1176,31436,44,0,32630.11684
2020,600,21250,35,2,4559.913445
2022,600,21250,37,1,2967.496146
2022,600,21250,37,1,12695.78205
2022,1067,33087,23,1,5604.639055
2022,1067,33087,23,1,4563.903113
2023,1067,33087,24,0,7229.920922
2023,1067,33087,24,0,13603.57011
2021,600,12902,30,3,3377.5439
2024,600,14699,44,0,17103.03807
2021,2373,53576,31,1,9924.118792
2023,600,8980,50,3,7865.294716
2024,789,17788,51,5,15672.73058
2022,600,13205,43,5,9942.054342
2021,1331,33444,23,1,6501.257913
2021,1331,33444,23,1,40384.65183
2021,1331,33444,23,1,6158.931789
2021,1331,33444,23,1,5991.369969
2022,1331,33444,24,0,7022.636624
2022,1331,33444,24,0,2305.579689
2019,932,28317,32,2,12911.95147
2018,1393,37114,37,0,37793.71911
2021,1393,37114,40,2,5044.866168
2022,1393,37114,41,0,7738.935819
2023,1393,37114,42,0,33503.57286
2024,1130,28682,53,5,7898.149553
2024,1130,28682,53,5,31969.89728
2020,615,18555,45,1,2541.838456
2018,1139,28485,28,1,13830.11488
2020,1139,28485,30,1,2845.850142
2021,780,18756,75,3,8798.607736
2022,600,15409,33,3,1604.566612
2022,600,15409,33,3,15648.82525
2023,600,12677,50,2,24997.68374
2020,668,14466,26,0,9799.758698
2018,600,15697,62,4,2576.086103
2018,600,15697,62,4,5174.113779
2020,695,21533,43,2,50875.9345
2023,695,21533,46,2,9416.78565
2024,695,21533,47,0,12605.32174
2019,600,10422,21,2,4451.498886
2019,1618,40601,28,2,20187.78637
2019,1618,40601,28,2,4091.326019
2024,676,14498,50,4,9185.603971
2020,1560,42481,63,3,7345.188268
2020,1560,42481,63,3,20730.44144
2022,1560,42481,65,2,4958.440252
2023,1560,42481,66,0,1321.977236
2024,600,13145,33,1,2586.895223
2020,600,11004,47,5,4986.298483
2023,600,11004,50,5,6188.870209
2024,600,11004,51,3,48139.30209
2019,600,11495,23,0,3310.94518
2020,600,11495,24,0,5001.953196
2020,600,11495,24,0,6672.738656
2023,600,11495,27,0,8575.857695
2023,600,11495,27,0,8226.415843
2023,600,11495,27,0,15933.59615
2024,600,11495,28,0,7245.538178
2024,600,11495,28,0,8056.414177
2024,600,11495,28,0,5147.287107
2018,1604,34542,32,0,18974.03396
2021,600,12763,37,3,4288.331397
2022,918,25761,47,1,4546.235886
2020,600,15901,23,2,2002.696932
2021,600,14350,64,3,18117.07045
2023,600,14350,66,1,13584.71959
2018,1193,33534,54,1,9982.050076
2019,1178,28879,34,2,70981.69464
2020,1178,28879,35,0,14731.54167
2018,600,11494,31,2,31360.42241
2019,600,11494,32,0,5740.990626
2023,600,11494,36,2,546.1646695
2023,600,7797,28,4,10526.99667
2024,600,7797,29,2,3868.153288
2024,600,7797,29,2,9479.044986
2024,600,7797,29,2,1560.843344
2023,600,17216,27,5,26469.28341
2021,600,7871,37,4,28645.93068
2023,668,20478,42,4,6966.758054
2024,668,20478,43,2,6504.692531
2024,668,20478,43,2,7611.540414
2022,600,17082,55,5,9192.039593
2018,3774,82906,57,1,14394.71382
2023,754,15237,48,2,2110.125731
2022,2288,60265,74,5,38412.33673
2018,2291,56027,47,1,5235.620371
2018,600,13901,27,2,16078.7695
2019,600,13901,28,0,22414.57426
2019,600,13901,28,0,8950.503097
2022,1376,43629,66,5,19538.96792
2022,600,17773,46,5,3008.484132
2023,720,14614,32,4,6738.412697
2022,1750,43785,24,2,15851.70327
2023,1750,43785,25,0,14208.29869
2023,1750,43785,25,0,7730.39122
2023,1750,43785,25,0,10648.84971
2017,894,22647,35,3,3055.68614
2023,600,8393,42,4,8799.578113
2018,631,14551,51,3,3850.85087
2020,600,19672,45,4,15245.43275
2024,600,12772,54,3,1635.186179
2018,751,17590,28,1,6995.549693
2019,751,17590,29,0,13970.32162
2020,600,16952,21,4,1103.840179
2022,600,16952,23,3,2097.138463
2023,600,11364,55,2,6831.097997
2018,1183,32987,23,0,33401.60373
2018,1183,32987,23,0,10925.6344
2018,1183,32987,23,0,5217.39327
2023,1093,23316,36,2,2426.483531
2017,1074,26807,31,0,17051.89542
2022,600,6681,25,2,8020.230615
2020,686,15012,49,3,2730.820004
2021,686,15012,50,1,5031.529847
2019,1917,46236,40,0,20748.6122
2017,600,11751,46,0,19041.55336
2020,600,11751,49,2,8949.770126
2018,600,14170,46,2,12217.43031
2022,600,14170,50,3,1024.850534
2024,600,13407,50,5,12381.88419
2017,671,21953,47,3,10442.47622
2022,600,13418,34,0,2286.090917
2017,600,14921,36,2,8298.967598
2018,600,14921,37,0,4754.908653
2019,2405,59407,34,4,3023.105694
2019,730,18109,49,4,2010.247986
2023,730,18109,53,5,4925.78383
2017,600,15167,20,1,8268.517698
2017,600,15167,20,1,3287.367981
2018,600,15167,21,0,7400.666328
2018,600,15167,21,0,11125.50533
2019,600,15167,22,0,11758.47846
2020,600,15167,23,0,15951.99105
2020,1199,29916,29,1,5110.527166
2023,1199,29916,32,2,1443.406828
2024,1199,29916,33,0,7954.323516
2016,922,21224,36,1,11011.45083
2021,600,13476,42,1,9782.914365
2019,636,16984,21,1,2100.159847
2020,636,16984,22,0,2391.737252
2024,1242,28445,58,5,5010.268511
2024,600,13749,39,4,6979.523533
2022,600,14392,36,5,9709.649497
2023,1210,27989,42,3,3823.676164
2021,600,7586,32,1,11883.09483
2020,973,18676,41,4,649.1073497
2024,925,15238,48,4,4891.992833
2024,925,15238,48,4,1583.730744
2020,850,22664,24,1,4225.885417
2022,850,22664,26,1,18802.70232
2023,850,22664,27,0,14908.33473
2023,2015,52397,43,5,26415.76246
2024,2015,52397,44,3,6581.246443
2024,600,10401,30,3,9338.663406
2017,600,10891,31,2,11050.12861
2022,600,15032,58,2,10061.87363
2018,600,7654,24,1,23946.95617
2019,600,7654,25,0,26734.04151
2021,600,7654,27,1,8729.111176
2022,600,7654,28,0,5594.085011
2021,937,22149,72,4,5748.897778
2021,1986,48831,59,5,5362.008101
2024,1986,48831,62,5,13054.86091
2024,600,15727,38,0,13164.91183
2024,600,15727,38,0,4162.492928
2021,1453,36295,46,2,11576.18548
2021,1453,36295,46,2,7620.133492
2017,3591,79587,46,1,20076.48967
2021,800,18297,28,1,4847.639567
2022,800,18297,29,0,2214.38608
2024,800,18297,31,1,6796.519517
2022,861,15187,31,4,3647.0145
2022,861,15187,31,4,3932.312567
2019,2699,62151,23,1,10903.75463
2021,2699,62151,25,1,72870.02039
2024,600,11018,60,2,19175.22889
2019,600,10160,50,4,16831.67149
2020,600,10160,51,2,10689.13934
2021,600,10160,52,0,3491.427572
2021,600,10160,52,0,8878.814918
2021,600,18382,34,2,10278.39066
2023,1320,31069,55,5,24821.64284
2024,600,7975,66,3,22741.6982
2022,1028,22589,40,3,100183.7048
2022,1028,22589,40,3,2804.779266
2024,600,11555,34,5,4465.168018
2019,703,22320,30,1,4002.403413
2019,703,22320,30,1,11069.24322
2024,1332,29310,40,3,2223.20684
2018,2567,59290,59,2,3407.514975
2020,2567,59290,61,1,4333.174525
2020,2567,59290,61,1,13275.59631
2022,600,13908,27,1,13054.60881
2018,979,27800,37,1,8528.302123
2019,979,27800,38,0,1550.405023
2021,600,15145,58,5,17073.42142
2017,736,16793,28,1,2634.727824
2023,736,16793,34,5,17411.02082
2022,600,7699,44,5,9470.261285
2017,897,21985,49,1,6648.091824
2022,600,19609,52,5,8873.90474
2017,600,11871,61,1,3931.209882
2018,600,11871,62,0,10006.85885
2018,600,11871,62,0,3735.060181
2020,600,11871,64,1,18183.35954
2024,600,18347,36,5,21512.30805
2016,600,15746,36,0,8803.814804
2022,600,15746,42,5,3372.95118
2019,600,10797,35,1,7804.700689
2024,600,10797,40,0,33096.41725
2016,600,11127,52,0,17748.71887
2022,600,16829,86,4,10773.00236
2023,600,17792,39,0,2146.781581
2024,600,17792,40,0,7957.617906
2018,600,11315,40,1,13658.1562
2020,600,11315,42,1,16993.91818
2024,1114,29653,54,3,7050.498477
2024,1114,29653,54,3,10566.49324
2023,600,14983,63,2,5315.665105
2020,2420,61389,23,1,23605.27342
2022,2420,61389,25,1,15472.45196
2023,600,13870,66,3,5936.811687
2021,600,13536,48,4,5619.942258
2022,600,13536,49,2,3336.585205
2019,1480,33157,27,2,11961.31427
2021,1480,33157,29,1,7473.528672
2021,1480,33157,29,1,30103.35462
2023,1942,44722,43,2,6196.078339
2024,1942,44722,44,0,6731.674297
2024,1942,44722,44,0,12841.36
2024,661,15737,57,4,7846.277205
2024,661,15737,57,4,23234.72722
2019,600,13885,24,3,6006.407471
2020,600,13885,25,1,4570.041172
2020,600,13885,25,1,3640.882623
2021,600,13885,26,0,1849.43624
2016,600,13064,32,1,8829.132629
2019,750,19292,34,2,15849.91173
2023,750,19292,38,3,12741.50377
2019,600,8415,58,4,7938.751152
2019,600,8415,58,4,6108.764457
2020,600,8415,59,2,18874.66579
2024,745,22442,44,3,4629.879455
2017,600,14437,54,3,13727.11571
2020,600,14437,57,3,28669.79947
2019,600,12914,54,3,2833.83744
2024,600,12914,59,5,17685.09207
2021,600,15300,50,4,3454.761371
2023,600,15300,52,3,7800.423985
2018,709,19412,24,1,24432.21191
2019,709,19412,25,0,4376.438527
2021,709,19412,27,1,2370.843823
2021,709,19412,27,1,6910.029245
2022,709,19412,28,0,1478.710336
2023,709,19412,29,0,78169.48793
2021,600,13561,57,2,8383.373285
2019,1044,26615,24,2,8749.319135
2021,1044,26615,26,1,9157.172885
2022,1044,26615,27,0,27756.0218
2023,600,11923,26,2,1602.192828
2024,600,11923,27,0,8126.836638
2019,600,10347,28,1,50461.47927
2022,783,18082,41,3,3371.576949
2023,783,18082,42,1,4080.126632
2021,1763,41915,49,2,11295.68659
2022,1763,41915,50,0,16269.41127
2022,1763,41915,50,0,23030.40864
2024,886,30173,81,4,62728.02138
2018,600,18387,33,1,3218.04421
2019,600,18387,34,0,1990.869068
2020,600,18387,35,0,16515.82338
2019,600,9867,46,3,11196.50511
2018,600,14874,23,2,1495.044687
2021,600,14874,26,2,7251.329398
2022,600,14874,27,0,1360.175287
2022,600,14874,27,0,3764.495908
2024,1599,37558,27,3,3035.243505
2024,1599,37558,27,1,22040.83685
2019,1132,36029,46,4,10723.61667
2023,979,20792,53,5,3029.398452
2023,979,20792,53,5,8575.124579
2019,600,15448,27,1,4134.212052
2019,1865,48313,61,5,21026.27618
2016,600,17278,48,2,9586.485334
2020,600,17278,52,3,4044.807166
2020,1254,26597,49,1,8204.036626
2024,1254,26597,53,3,6926.702369
2017,847,31364,31,1,13110.37063
2018,847,31364,32,0,2363.83542
2020,847,31364,34,1,1454.446447
2017,600,11907,50,1,8671.054142
2019,600,11907,52,1,33595.99994
2022,600,14910,47,4,7676.645606
2023,600,11270,34,1,5327.625195
2023,600,11270,34,1,5008.876586
2019,2577,66665,44,1,8792.935937
2019,2577,66665,44,1,4632.743586
2020,2577,66665,45,0,20192.75853
2020,600,9755,62,2,5738.697506
2023,1455,41576,45,2,5922.27123
2023,1455,41576,45,2,26857.88135
2020,600,12675,52,3,3881.676749
2017,1520,43764,26,1,20660.69334
2018,1520,43764,27,0,31489.72894
2020,1520,43764,29,1,33464.89139
2021,1520,43764,30,0,4489.631074
2023,1520,43764,32,1,32113.97281
2020,600,10050,55,5,7240.328726
2023,600,12902,45,1,39561.70944
